Artist,Track,msPlayed,Name
"The National","Mistaken For Strangers",8976,"Elena"
"The National","Fake Empire",205040,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Aria",184853,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 1 a 1 Clav.",70386,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 2 a 1 Clav.",49253,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 3 a 1 Clav. Canone all'Unisono",90706,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 4 a 1 Clav.",50480,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 5 a 1 ovvero 2 Clav.",37026,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 6 a 1 Clav. Canone alla Seconda",40066,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 7 a 1 ovvero 2 Clav.",76026,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 8 a 2 Clav.",53786,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 9 a 1 Clav. Canone alla Terza",59373,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 10 a 1 Clav. Fughetta",64293,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 11 a 2 Clav.",53453,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 12 Canone alla Quarta",97973,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 13 a 2 Clav.",158160,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 14 a 2 Clav.",64706,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 15 a 1 Clav. Canone alla Quinta. Andante",301426,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 16 a 1 Clav. Overture",98360,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 17 a 2 Clav.",54013,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 18 a 1 Clav. Canone alla Sesta",63146,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 19 a 1 Clav.",62973,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 20 a 2 Clav.",50080,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 21 Canone alla Settima",132640,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 22 a 1 Clav. alla breve",63280,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 23 a 2 Clav.",57986,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 24 Canone all' Ottava a 1 Clav.",104040,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 25 a 2 Clav.",362480,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 26 a 2 Clav.",51880,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 27 a 2 Clav. Canone alla Nona",81240,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 28 a 2 Clav.",63266,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 29 a 1 ovvero 2 Clav.",61880,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Variation 30 a 1 Clav. Quodlibet",90080,"Elena"
"Johann Sebastian Bach","Goldberg Variations, BWV 988: Aria da capo",227800,"Elena"
"Ramana","Om Bur Buvasvaha - Gayatri Mantram",27520,"Elena"
"Shailendra Bharti","Om Bhur Bhuvah Swaha - Gayatri Mantra",121471,"Elena"
"Rajkumar Bharathi","Om Bhoordhuwa Swaha",12096,"Elena"
"S. Janaki","Om Bhoor Bhuvaha Swaha Tat Savitur Varenyam Bhargo Devasya Dhimahi Dhiyo Yo Naha Prachodayat",1357019,"Elena"
"Hariharan","Jhonka Hawa Ka",347600,"Elena"
"S. Janaki","Nenjinile (From "Uyire")",302571,"Elena"
