endTime,msPlayed,name
"2020-01-27 14:23",208213,"Jana"
"2020-01-27 14:27",284893,"Jana"
"2020-01-27 14:36",352493,"Jana"
"2020-01-27 14:40",250826,"Jana"
"2020-01-27 14:43",217466,"Jana"
"2020-01-27 14:47",237480,"Jana"
"2020-01-27 14:50",172578,"Jana"
"2020-01-27 14:54",213127,"Jana"
"2020-01-27 14:58",233043,"Jana"
"2020-01-27 15:01",192569,"Jana"
"2020-01-27 15:05",238290,"Jana"
"2020-01-27 15:09",223860,"Jana"
"2020-01-27 15:12",194563,"Jana"
"2020-01-27 15:13",94533,"Jana"
"2020-01-27 15:18",257498,"Jana"
"2020-01-27 15:19",48050,"Jana"
"2020-01-27 15:22",225271,"Jana"
"2020-01-27 15:25",190401,"Jana"
"2020-01-27 15:29",196465,"Jana"
"2020-01-27 15:32",190373,"Jana"
"2020-01-27 15:35",193840,"Jana"
"2020-01-27 15:39",206133,"Jana"
"2020-01-27 15:43",242426,"Jana"
"2020-01-27 15:43",29499,"Jana"
"2020-01-27 15:47",206371,"Jana"
"2020-01-27 19:05",122623,"Jana"
"2020-01-28 08:39",1979713,"Jana"
"2020-01-28 08:40",256,"Jana"
"2020-01-28 08:40",55498,"Jana"
"2020-01-28 08:44",289213,"Jana"
"2020-01-28 15:15",106318,"Jana"
"2020-01-28 15:20",289213,"Jana"
"2020-01-28 15:24",208213,"Jana"
"2020-01-28 15:29",284893,"Jana"
"2020-01-28 15:35",352493,"Jana"
"2020-01-28 15:39",250826,"Jana"
"2020-01-28 15:42",217466,"Jana"
"2020-01-28 15:44",1536,"Jana"
"2020-01-28 15:44",1216,"Jana"
"2020-01-28 15:44",75642,"Jana"
"2020-01-28 15:44",640,"Jana"
"2020-01-28 15:44",661,"Jana"
"2020-01-28 15:44",234,"Jana"
"2020-01-28 15:49",289213,"Jana"
"2020-01-28 15:52",208213,"Jana"
"2020-01-28 15:57",284893,"Jana"
"2020-01-28 16:03",352493,"Jana"
"2020-01-28 16:07",250826,"Jana"
"2020-01-28 16:11",217466,"Jana"
"2020-01-28 16:15",237480,"Jana"
"2020-01-28 16:17",172578,"Jana"
"2020-01-28 16:21",213127,"Jana"
"2020-01-28 16:25",233043,"Jana"
"2020-01-28 16:28",192569,"Jana"
"2020-01-28 16:32",238290,"Jana"
"2020-01-28 16:36",223860,"Jana"
"2020-01-28 16:39",194563,"Jana"
"2020-01-28 16:41",94533,"Jana"
"2020-01-28 16:45",257498,"Jana"
"2020-01-28 16:46",48050,"Jana"
"2020-01-28 16:48",105438,"Jana"
"2020-01-28 17:43",289213,"Jana"
"2020-01-28 17:46",165988,"Jana"
"2020-01-28 17:47",3285,"Jana"
"2020-01-28 17:47",0,"Jana"
"2020-01-28 17:48",2602,"Jana"
"2020-01-28 17:51",205129,"Jana"
"2020-01-28 17:52",44589,"Jana"
"2020-01-28 17:56",11552,"Jana"
"2020-01-28 17:56",270102,"Jana"
"2020-01-28 17:58",1600,"Jana"
"2020-01-28 17:58",810,"Jana"
"2020-01-28 17:58",1280,"Jana"
"2020-01-28 17:58",2175,"Jana"
"2020-01-28 17:58",9237,"Jana"
"2020-01-28 17:58",1237,"Jana"
"2020-01-28 17:58",5631,"Jana"
"2020-01-28 17:58",1088,"Jana"
"2020-01-28 17:58",1088,"Jana"
"2020-01-28 17:58",960,"Jana"
"2020-01-28 17:58",1130,"Jana"
"2020-01-28 17:58",874,"Jana"
"2020-01-28 17:58",981,"Jana"
"2020-01-28 17:58",93098,"Jana"
"2020-01-28 18:01",139690,"Jana"
"2020-01-28 18:02",6549,"Jana"
"2020-01-28 18:05",197933,"Jana"
"2020-01-28 18:10",152626,"Jana"
"2020-01-28 18:14",239960,"Jana"
"2020-01-28 18:19",295466,"Jana"
"2020-01-28 19:38",432249,"Jana"
"2020-01-28 19:38",20191,"Jana"
"2020-01-28 19:43",261946,"Jana"
"2020-01-28 19:47",280186,"Jana"
"2020-01-28 19:52",307013,"Jana"
"2020-01-28 19:57",285560,"Jana"
"2020-01-28 19:59",96211,"Jana"
"2020-01-28 20:05",353732,"Jana"
"2020-01-28 20:29",305815,"Jana"
"2020-01-28 20:35",369265,"Jana"
"2020-01-28 20:39",221880,"Jana"
"2020-01-28 20:40",65866,"Jana"
"2020-01-28 20:46",382506,"Jana"
"2020-01-28 20:50",260573,"Jana"
"2020-01-28 21:10",324240,"Jana"
"2020-01-28 21:14",261946,"Jana"
"2020-01-28 21:24",280186,"Jana"
"2020-01-28 21:25",4629,"Jana"
"2020-01-28 21:25",81397,"Jana"
"2020-01-28 21:26",56768,"Jana"
"2020-01-28 23:32",3575840,"Jana"
"2020-01-28 23:33",40007,"Jana"
"2020-01-29 00:11",2219013,"Jana"
"2020-01-29 00:12",34645,"Jana"
"2020-01-29 08:26",255530,"Jana"
"2020-01-29 09:27",1565257,"Jana"
"2020-01-29 09:31",289213,"Jana"
"2020-01-29 09:32",52688,"Jana"
"2020-01-29 09:32",5085,"Jana"
"2020-01-29 10:59",90627,"Jana"
"2020-01-29 11:04",289213,"Jana"
"2020-01-29 11:07",208213,"Jana"
"2020-01-29 11:12",284893,"Jana"
"2020-01-29 11:25",109876,"Jana"
"2020-01-29 11:29",234746,"Jana"
"2020-01-29 11:33",221099,"Jana"
"2020-01-29 11:37",240453,"Jana"
"2020-01-29 11:41",289213,"Jana"
"2020-01-29 11:45",208213,"Jana"
"2020-01-29 11:50",284893,"Jana"
"2020-01-29 11:56",352493,"Jana"
"2020-01-29 12:00",250826,"Jana"
"2020-01-29 12:03",217466,"Jana"
"2020-01-29 15:20",218632,"Jana"
"2020-01-29 15:24",259760,"Jana"
"2020-01-29 15:25",34353,"Jana"
"2020-01-29 15:28",201053,"Jana"
"2020-01-29 15:33",289720,"Jana"
"2020-01-29 15:36",199840,"Jana"
"2020-01-29 15:41",256207,"Jana"
"2020-01-29 15:45",233413,"Jana"
"2020-01-29 15:48",217306,"Jana"
"2020-01-29 15:51",179484,"Jana"
"2020-01-29 15:57",333240,"Jana"
"2020-01-29 16:01",247643,"Jana"
"2020-01-29 16:03",147787,"Jana"
"2020-01-29 16:12",511333,"Jana"
"2020-01-29 16:18",360360,"Jana"
"2020-01-29 16:22",211807,"Jana"
"2020-01-29 16:25",200200,"Jana"
"2020-01-29 16:29",243659,"Jana"
"2020-01-29 16:33",218719,"Jana"
"2020-01-29 16:35",136447,"Jana"
"2020-01-29 16:40",289213,"Jana"
"2020-01-29 16:43",213573,"Jana"
"2020-01-29 16:44",8938,"Jana"
"2020-01-29 16:47",202293,"Jana"
"2020-01-29 16:49",119446,"Jana"
"2020-01-29 16:54",261946,"Jana"
"2020-01-29 16:59",280186,"Jana"
"2020-01-29 17:04",307013,"Jana"
"2020-01-29 17:09",285560,"Jana"
"2020-01-29 17:10",96211,"Jana"
"2020-01-29 17:58",50617,"Jana"
"2020-01-29 18:10",710890,"Jana"
"2020-01-29 18:18",155264,"Jana"
"2020-01-29 18:39",428309,"Jana"
"2020-01-29 22:35",2829284,"Jana"
"2020-01-29 22:51",952643,"Jana"
"2020-01-30 11:59",2424044,"Jana"
"2020-01-30 12:04",289213,"Jana"
"2020-01-30 12:08",213573,"Jana"
"2020-01-30 12:11",194760,"Jana"
"2020-01-30 12:15",249133,"Jana"
"2020-01-30 12:19",230413,"Jana"
"2020-01-30 12:24",277266,"Jana"
"2020-01-30 13:54",19034,"Jana"
"2020-01-30 13:57",150869,"Jana"
"2020-01-30 18:24",289213,"Jana"
"2020-01-30 18:27",213573,"Jana"
"2020-01-30 18:30",194760,"Jana"
"2020-01-30 18:35",249133,"Jana"
"2020-01-30 18:38",230413,"Jana"
"2020-01-30 18:39",58017,"Jana"
"2020-01-30 21:36",281064,"Jana"
"2020-01-30 21:37",2837,"Jana"
"2020-01-30 21:37",9593,"Jana"
"2020-01-30 21:41",280186,"Jana"
"2020-01-30 22:07",307013,"Jana"
"2020-01-30 22:12",285560,"Jana"
"2020-01-30 22:14",96211,"Jana"
"2020-01-30 22:15",2218,"Jana"
"2020-01-30 22:15",56265,"Jana"
"2020-01-31 07:37",38784,"Jana"
"2020-01-31 07:39",31360,"Jana"
"2020-01-31 08:09",903295,"Jana"
"2020-01-31 08:58",1989866,"Jana"
"2020-01-31 14:21",478681,"Jana"
"2020-01-31 14:21",3626,"Jana"
"2020-01-31 15:34",3396036,"Jana"
"2020-01-31 15:44",576711,"Jana"
"2020-01-31 17:54",2370469,"Jana"
"2020-01-31 18:52",3338071,"Jana"
"2020-01-31 19:33",568219,"Jana"
"2020-01-31 22:36",240383,"Jana"
"2020-01-31 22:43",426945,"Jana"
"2020-01-31 22:46",166154,"Jana"
"2020-01-31 22:47",34730,"Jana"
"2020-01-31 22:47",0,"Jana"
"2020-02-01 08:24",1091648,"Jana"
"2020-02-01 08:25",6890,"Jana"
"2020-02-01 08:58",2024216,"Jana"
"2020-02-01 08:59",14741,"Jana"
"2020-02-01 08:59",4915,"Jana"
"2020-02-01 09:01",95168,"Jana"
"2020-02-01 09:01",1621,"Jana"
"2020-02-01 10:17",3042026,"Jana"
"2020-02-01 10:53",1293709,"Jana"
"2020-02-01 11:59",2297362,"Jana"
"2020-02-01 12:34",71153,"Jana"
"2020-02-01 13:37",539840,"Jana"
"2020-02-01 17:44",1856986,"Jana"
"2020-02-01 21:13",17578,"Jana"
"2020-02-01 21:16",221093,"Jana"
"2020-02-01 21:17",50062,"Jana"
"2020-02-01 21:17",9938,"Jana"
"2020-02-01 21:21",230413,"Jana"
"2020-02-01 21:22",4899,"Jana"
"2020-02-01 21:22",1787,"Jana"
"2020-02-01 21:22",6292,"Jana"
"2020-02-01 21:22",1021,"Jana"
"2020-02-01 21:22",15836,"Jana"
"2020-02-01 21:22",2995,"Jana"
"2020-02-01 21:22",16146,"Jana"
"2020-02-01 21:26",239600,"Jana"
"2020-02-01 21:30",243146,"Jana"
"2020-02-01 21:35",232360,"Jana"
"2020-02-01 21:39",227080,"Jana"
"2020-02-01 21:41",174306,"Jana"
"2020-02-01 21:46",252279,"Jana"
"2020-02-01 21:50",243160,"Jana"
"2020-02-01 21:52",158457,"Jana"
"2020-02-01 22:24",186433,"Jana"
"2020-02-01 22:27",178723,"Jana"
"2020-02-01 22:31",230413,"Jana"
"2020-02-01 22:31",952,"Jana"
"2020-02-01 22:31",603,"Jana"
"2020-02-01 22:31",534,"Jana"
"2020-02-01 22:31",835,"Jana"
